,Borough,Neighborhood,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
3,DWARKA,DABRI VILLAGE,28.6107697,77.09110590789902,0.0,Movie Theater,Department Store,Grocery Store,Women's Store,Food Court,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant
51,NEW DELHI,B. K. DUTT COLONY,28.57144105,77.17370880143642,0.0,Multiplex,Coffee Shop,Restaurant,Park,Shopping Mall,Convenience Store,Thai Restaurant,Asian Restaurant,Electronics Store,Comfort Food Restaurant
57,NEW DELHI,BAPA NAGAR,28.60604735,77.2364252840866,0.0,Cafeteria,Park,Art Gallery,Food Truck,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
60,NEW DELHI,BHAGWAN DASS ROAD,28.57914175,77.25871661527904,0.0,Bakery,Asian Restaurant,Moving Target,Shopping Mall,Historic Site,Donut Shop,Eastern European Restaurant,Electronics Store,Diner,English Restaurant
65,NEW DELHI,GOLF LINKS,28.595969800000002,77.2311628,0.0,Golf Course,Spa,Fabric Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Women's Store,Food Truck
66,NEW DELHI,GURUDWARA RAKAB GANJ ROAD,28.621101399999997,77.2053441,0.0,Smoke Shop,Concert Hall,Spiritual Center,Food & Drink Shop,Historic Site,Diner,Donut Shop,Dim Sum Restaurant,Eastern European Restaurant,Food Court
69,NEW DELHI,JANPATH,28.6088598,77.2181649,0.0,History Museum,Boutique,Business Service,Construction & Landscaping,Women's Store,Fast Food Restaurant,Food & Drink Shop,Food,Flea Market,Fabric Shop
72,NEW DELHI,K G MARG,28.5707896,77.17437151948845,0.0,Multiplex,Coffee Shop,Shopping Mall,Thai Restaurant,Restaurant,Asian Restaurant,Comfort Food Restaurant,Convenience Store,Electronics Store,Eastern European Restaurant
74,NEW DELHI,KALI BARI MARG,28.6299273,77.20149659999998,0.0,Fried Chicken Joint,Theater,Women's Store,Fabric Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,English Restaurant
77,NEW DELHI,KIDWAI NAGAR (EAST),28.5723021,77.2141572,0.0,Clothing Store,Metro Station,Soccer Field,Falafel Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Women's Store,Food Truck
78,NEW DELHI,KIDWAI NAGAR (WEST),28.5717018,77.2045946,0.0,Northeast Indian Restaurant,Dim Sum Restaurant,Market,Restaurant,Spa,Women's Store,Falafel Restaurant,Flea Market,Fast Food Restaurant,English Restaurant
79,NEW DELHI,KIDWAI NAGAR WEST,28.5717018,77.2045946,0.0,Northeast Indian Restaurant,Dim Sum Restaurant,Market,Restaurant,Spa,Women's Store,Falafel Restaurant,Flea Market,Fast Food Restaurant,English Restaurant
80,NEW DELHI,KIDWAI NAGAR(EAST),28.5723021,77.2141572,0.0,Clothing Store,Metro Station,Soccer Field,Falafel Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Women's Store,Food Truck
82,NEW DELHI,LODHI COLONY,28.586203,77.22685759999999,0.0,Diner,Modern European Restaurant,Café,Restaurant,Food Court,Chinese Restaurant,Sandwich Place,Shopping Mall,Japanese Restaurant,Italian Restaurant
83,NEW DELHI,LODHI ESTATE,28.594301100000006,77.22609378292776,0.0,Food Court,Women's Store,Food Truck,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
87,NEW DELHI,MAULANA AZAD ROAD,28.6100178,77.22170849999999,0.0,Park,History Museum,Construction & Landscaping,Women's Store,Food Court,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant
88,NEW DELHI,MOTHER TERESSA CRESCENT,28.622180199999995,77.28685157661627,0.0,Bus Station,ATM,Track Stadium,Business Service,Convenience Store,Fast Food Restaurant,Food Court,Food & Drink Shop,Food,Flea Market
90,NEW DELHI,NORTH AVENUE,28.6235903,77.1999895,0.0,Smoke Shop,Theater,Food & Drink Shop,Asian Restaurant,Donut Shop,Eastern European Restaurant,Diner,Electronics Store,Food Truck,English Restaurant
96,NEW DELHI,PESHWA ROAD,28.6350729,77.20339840000001,0.0,Fabric Shop,BBQ Joint,Fast Food Restaurant,Theater,Kebab Restaurant,Food & Drink Shop,Food,Flea Market,Falafel Restaurant,Women's Store
