,Borough,Neighborhood
0,NERELA,SECTOR-A6 NARELA
1,NERELA,VIJAY NAGAR NARELA
2,NERELA,(METRO VIHAR PHASE-I)HOLAMBI KALAN
3,NERELA,(METRO VIHAR PHASE-II)HOLAMBI KALAN
4,NERELA,DESU COLONY NARELA
5,NERELA,GAUTAM COLONY NARELA
6,NERELA,INDRA COLONY
7,NERELA,MATRO VIHAR HOLAMBI KHURD
8,NERELA,METRO VIHAR HOLAMBI KHURD
9,NERELA,NAI BASTI MAMURPUR PANA UDYAN NARELA
10,NERELA,NARELA MANDI
11,NERELA,NEW PUNJABI COLONY NARELA
12,NERELA,PANA MAMURPUR NARELA
13,NERELA,PANA PAPOSIAN NARELA
14,NERELA,PANA UDYAN NARELA
15,NERELA,PREM COLONY
16,NERELA,RAJEEV COLONY NARELA
17,NERELA,RAVIDHASS NAGAR NARELA
18,NERELA,RESETLEMENT GAUTAM COLONY NARELA
19,NERELA,SANJAY COLONY NARELA
20,NERELA,SEC A-5 NARELA
21,NERELA,SEC-27 KHERA KALAN
22,NERELA,SECTOR-A6 NARELA
23,NERELA,SHIVAJI NAGAR NARELA
24,NERELA,SWATANTAR NAGAR
25,NERELA,VILL LAMPUR
26,NERELA,VILL AKBARPUR MAJRA
27,NERELA,VILL BAKHTAWARPUR
28,NERELA,VILL BAKOULI
29,NERELA,VILL BANKNER
30,NERELA,VILL BHORGARH
31,NERELA,VILL BUDHPUR
32,NERELA,VILL GHOGA
33,NERELA,VILL HAMIDPUR
34,NERELA,VILL HIRANKI
35,NERELA,VILL HIRANKI (KUSHAK)
36,NERELA,VILL HOLAMBI KALAN
37,NERELA,VILL HOLAMBI KHURD
38,NERELA,VILL IRADAT NAGAR (NAYA BANS)
39,NERELA,VILL JHANGOLA
40,NERELA,VILL JINDPUR
41,NERELA,VILL KHAMPUR
42,NERELA,VILL KHERA KALAN
43,NERELA,VILL KHERA KHURD
44,NERELA,VILL KURENI
45,NERELA,VILL KURENI SEC-A-10
46,NERELA,VILL PALLA
47,NERELA,VILL PALLA KULAKPUR
48,NERELA,VILL SANOTH
49,NERELA,VILL SHAHPUR GARHI
50,NERELA,VILL SINGHOLA
51,NERELA,VILL SINGHU
52,NERELA,VILL SUNGERPUR
53,NERELA,VILL TAJPUR KALAN
54,NERELA,VILL TIGIPUR
55,NERELA,VILL TIKRI KHURD
56,NERELA,VILLAGE ALIPUR
57,BURARI,BURARI
58,BURARI,IBRAHIMPUR
59,BURARI,JAHANGIRPURI RESTTLEMENT CLY
60,BURARI,JAHANGIRPURI RESTTLEMENTS CLY
61,BURARI,NATHUPURA
62,BURARI,VILL MUKANDPUR
63,BURARI,VILLAGE NANGLI POONA
64,BURARI,VILLAGE IBRAHIMPUR
65,BURARI,VILLAGE JAGATPUR
66,BURARI,VILLAGE KADIPUR
67,BURARI,VILLAGE MUKHMELPUR
68,BURARI,VILLAGE NANGLI POONA
69,TIMARPUR,B D ESTATE
70,TIMARPUR,B R HOSPITAL
71,TIMARPUR,BHAI PARMANAND COLONY
72,TIMARPUR,BHAI PERMANAND COLONY (EAST)
73,TIMARPUR,BHAI PERMANAND COLONY (WEST)
74,TIMARPUR,DDA FLATS MALL ROAD
75,TIMARPUR,DELHI ADMN FLATS TIMARPUR
76,TIMARPUR,DELHI UNIVERSITY CHHATRA MARG
77,TIMARPUR,DHAKA MCD COLONY
78,TIMARPUR,DHAKA VILLAGE
79,TIMARPUR,G T B NAGAR
80,TIMARPUR,GOPAL PUR VILLAGE
81,TIMARPUR,GTB NAGAR
82,TIMARPUR,HAKIKAT NAGAR
83,TIMARPUR,INDIRA BASTI TIMARPUR
84,TIMARPUR,INDRA VIHAR
85,TIMARPUR,INDRA VIKAS COLONY
86,TIMARPUR,KABIR BASTI
87,TIMARPUR,KARORI MAL COLLEGE
88,TIMARPUR,LANCERS ROAD
89,TIMARPUR,MALKA GANJ
90,TIMARPUR,MUKHERJEE NAGAR
91,TIMARPUR,MUKHERJEE NAGAR (WEST)
92,TIMARPUR,MUNSHI RAM COLONY
